ClipType,ClipLot,ChemAbbr,Lot,ExpirationDate
LYTES,939390,CL,1,29-Jul-23
LYTES,939390,CL,2,29-Jul-23
LYTES,939390,K,3,29-Jul-23
LYTES,939400,K,4,29-Jul-23
LYTES,939400,K,5,29-Jul-23
LYTES,939400,K,6,29-Jul-23
LYTES,939410,NA,7,29-Jul-23
LYTES,939410,CL,8,29-Jul-23
LYTES,939410,CL,9,29-Jul-23
LYTES,939420,CL,10,29-Jul-23
LYTES,939420,K,11,29-Jul-23
LYTES,939420,K,12,29-Jul-23
LYTES,939430,K,13,29-Jul-23
LYTES,939430,NA,14,29-Jul-23
LYTES,939430,NA,15,29-Jul-23
LYTES,939440,NA,16,29-Jul-23
LYTES,939440,NA,17,29-Jul-23
LYTES,939440,NA,18,29-Jul-23
